event_id,source_family,source_paper,mode,f_hz,sigma_f_hz,tau_ms,sigma_tau_ms,M_final_Msun,chi_final,redshift,sigma_M_final_Msun,sigma_chi_final,has_qnm_uncertainty,has_kerr_metadata,has_kerr_uncertainty,usable_for_baseline_A,usable_for_full_kerr_uncertainty
GW150914,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,248.0,7.5,4.2,0.25,63.1,0.69,0.09,3.4,0.05,True,True,True,True,True
GW170104,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,287.0,20.0,3.5,0.35,48.9,0.66,0.2,4.5,0.08,True,True,True,True,True
GW170814,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,293.0,12.5,3.7,0.25,53.2,0.72,0.124,3.2,0.07,True,True,True,True,True
GW170823,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,197.0,17.0,5.5,0.9,65.4,0.72,0.342,9.6,0.1,True,True,True,True,True
GW190408_181802,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,319.0,15.5,3.2,0.3,41.4,0.67,0.243,3.9,0.07,True,True,True,True,True
GW190421_213856,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,162.0,14.0,6.3,1.0,70.5,0.66,0.356,12.4,0.12,True,True,True,True,True
GW190503_185404,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,191.0,16.0,5.3,0.8,66.5,0.66,0.338,9.4,0.15,True,True,True,True,True
GW190512_180714,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,381.0,37.5,2.6,0.2,34.3,0.65,0.17,4.1,0.07,True,True,True,True,True
GW190513_205428,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,241.0,27.0,4.3,0.75,52.1,0.71,0.304,8.8,0.13,True,True,True,True,True
GW190519_153544,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,127.0,9.0,9.5,1.6,100.0,0.79,0.45,13.0,0.12,True,True,True,True,True
GW190521,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,68.0,4.0,15.8,3.2,147.4,0.62,0.825,40.0,0.23,True,True,True,True,True
GW190521_074359,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,198.0,7.0,5.4,0.4,72.6,0.71,0.21,6.5,0.06,True,True,True,True,True
GW190602_175927,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,105.0,9.5,10.0,1.7,110.5,0.72,0.644,17.9,0.17,True,True,True,True,True
GW190706_222641,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,108.0,10.5,10.9,2.3,107.3,0.78,0.786,25.2,0.19,True,True,True,True,True
GW190708_232457,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,497.0,28.0,2.1,0.15,30.1,0.68,0.197,2.9,0.05,True,True,True,True,True
GW190727_060333,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,178.0,17.0,6.1,0.95,65.4,0.73,0.344,9.5,0.11,True,True,True,True,True
GW190828_063405,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,239.0,10.5,4.8,0.55,54.3,0.74,0.362,7.3,0.07,True,True,True,True,True
GW190910_112807,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,177.0,8.0,5.9,0.65,74.4,0.69,0.29,8.6,0.08,True,True,True,True,True
GW190915_235702,A,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,220,232.0,16.0,4.6,0.7,54.7,0.69,0.29,6.6,0.09,True,True,True,True,True
